rank,A0_m2,L_comb_m,phi,A6_frac,A1_m2,A2_m2,A3_m2,A6_m2,L23_m,L34_m,AR_nozzle,sigma_c,T1_K,P1_kPa,mdot_air,mdot_fuel,FAR,Ma4,T4_K,Tt4_K,P4_kPa,Pt4_kPa,Ma6,V6_ms,P6_kPa,T6_K,Fin_N,Isp_s,Ia_Ns_kg
1,4.5,0.3,0.8,1.0,3.2612909039804894,4.05,4.95,4.5,0.18,0.12,0.9372912328121557,0.8403523136169321,532.2018671676846,175.29884019273965,516.0895819868019,7.211732150034209,0.013973799126638127,0.9543514510214213,2285.514486565362,2592.185596254054,81.21139283058051,141.33534233015288,2.7961304033814693,2131.5825173465582,4.983585501839812,1161.9608264897238,762953.0683363503,14297.716259210893,1478.3345662572615
2,4.5,0.5,0.8,1.0,3.2612909039804894,4.05,4.95,4.5,0.3,0.2,0.9368896050994246,0.8403523136169321,532.2018671676846,175.29884019273965,516.0895819868019,7.211732150034209,0.013973799126638127,0.9605103305076844,2281.9774800067166,2592.1817497075085,80.62812960927032,141.2719843103025,2.7961331222914056,2131.5817676218153,4.981274714518722,1161.957585796704,762949.303883389,14297.645713482007,1478.3272720721188
3,4.5,0.9,0.8,1.0,3.2612909039804894,4.05,4.95,4.5,0.54,0.36000000000000004,0.9360954069595093,0.8403523136169321,532.2018671676846,175.29884019273965,516.0895819868019,7.211732150034095,0.013973799126637907,0.9788735806125178,2271.366575397708,2592.180975190564,78.93220751912361,141.14409389773462,2.796138218404659,2131.5831460455115,4.976478523605937,1161.9547078635294,762939.0025573735,14297.452666959785,1478.3073117272968
4,4.5,0.7,0.8,1.0,3.2612909039804894,4.05,4.95,4.5,0.42,0.27999999999999997,0.9365314347975957,0.8403523136169321,532.2018671676846,175.29884019273965,516.0895819868019,7.211732150034436,0.013973799126638568,0.9674991169927664,2277.848140626189,2592.0651612578727,79.97457395880875,141.2116501028946,2.7961402835572575,2131.5330653016745,4.9790238654783945,1161.8953991443673,762916.923649426,14297.038908926355,1478.264530573175
5,4.4,0.3,0.8,1.0,3.188817772780923,3.9600000000000004,4.840000000000001,4.4,0.18,0.12,0.93728232915991,0.8403523136169321,532.2018671676846,175.29884019273965,504.6209246093175,7.051471435588098,0.01397379912663633,0.9544786248367373,2285.441644253117,2592.1855879613345,81.19928270665875,141.33394414155114,2.7959954980678137,2131.5367440053806,4.983908556210168,1162.0263571885193,745981.8747386632,14297.396553836916,1478.3015098238538
6,4.4,0.5,0.8,1.0,3.188817772780923,3.9600000000000004,4.840000000000001,4.4,0.3,0.2,0.9368757696661904,0.8403523136169321,532.2018671676846,175.29884019273965,504.6209246093175,7.051471435588098,0.01397379912663633,0.9607446116381783,2281.8437572094385,2592.182802462147,80.60611524923998,141.26982487752252,2.7959982331290676,2131.5364635802666,4.981570115721406,1162.0236409283777,745978.4123639723,14297.330194390863,1478.2946484859226
7,4.4,0.9,0.8,1.0,3.188817772780923,3.9600000000000004,4.840000000000001,4.4,0.54,0.36000000000000004,0.93607469067271,0.8403523136169321,532.2018671676846,175.29884019273965,504.6209246093175,7.0514714355880415,0.013973799126636217,0.9796448853005866,2270.9193629654333,2592.1819267415844,78.86232879215066,141.14065271161653,2.796003435396459,2131.537824371477,4.976718783051163,1162.020649478729,745967.9876279959,14297.130395187598,1478.2739899371625
8,4.4,0.7,0.8,1.0,3.188817772780923,3.9600000000000004,4.840000000000001,4.4,0.42,0.27999999999999997,0.9365137871025716,0.8403523136169321,532.2018671676846,175.29884019273965,504.6209246093175,7.051471435587985,0.013973799126636105,0.967879847912585,2277.6285387281714,2592.065303380233,79.93928779864817,141.20882518637842,2.7960054870034554,2131.487334095036,4.9792934894001,1161.9608777327746,745946.4301549199,14296.71722731891,1478.2312698040394
9,4.5,0.9,0.75,1.0,3.2612909039804894,4.05,4.95,4.5,0.54,0.36000000000000004,0.9936266305743245,0.8403523136169321,532.2018671676846,175.29884019273965,516.0895819868019,6.7609988906555145,0.013100436681220228,0.7618192629762112,2303.134729098188,2500.208442337534,101.70494209062103,145.9083909067858,2.7989814208033907,2077.728814413454,5.129182414577247,1115.789547680807,730162.926966038,13695.025939752602,1414.7988110031458
10,4.5,0.3,0.75,1.0,3.2612909039804894,4.05,4.95,4.5,0.18,0.12,0.9946319242090045,0.8403523136169321,532.2018671676846,175.29884019273965,516.0895819868019,6.760998890655628,0.013100436681220448,0.7598297515717601,2304.053666787007,2500.1708070038717,101.99219712551935,146.05561640868956,2.798976825722374,2077.710516247109,5.134382636670113,1115.7727046724265,730153.4729793031,13694.848619611043,1414.7804925036744
