rank,A0_m2,L_comb_m,phi,A6_frac,A1_m2,A2_m2,A3_m2,A6_m2,L23_m,L34_m,AR_nozzle,sigma_c,T1_K,P1_kPa,mdot_air,mdot_fuel,FAR,Ma4,T4_K,Tt4_K,P4_kPa,Pt4_kPa,Ma6,V6_ms,P6_kPa,T6_K,Fin_N,Isp_s,Ia_Ns_kg
1,4.5,0.9,0.95,1.6,0.6425541218159524,4.05,4.95,7.2,0.54,0.36000000000000004,13.481397103999571,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817529108704053,3314.0927258732045,3316.2683040449588,349.69146904871434,350.7349077782339,3.89359495709955,2796.4722881990465,2.1570857683597224,979.8584125244362,177180.56563437937,13969.179946546881,1448.0972536553747
2,4.5,0.5,0.95,1.6,0.6425541218159524,4.05,4.95,7.2,0.3,0.2,13.481497817754052,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817478145153294,3314.0812935042154,3316.256832580873,349.6934803961987,350.7369096077984,3.8936031439520513,2796.4687377095593,2.157073653536244,979.8515220012537,177180.0319764399,13969.137872159325,1448.0928920675576
3,4.5,0.7,0.95,1.6,0.6425541218159524,4.05,4.95,7.2,0.42,0.27999999999999997,13.481461576471563,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817496361458907,3314.0802715323407,3316.2558216474354,349.6924804208811,350.7359122401036,3.8936006025184717,2796.4677620406364,2.157075728454217,979.852142805459,177179.92423725533,13969.129377841387,1448.0920115149036
4,4.5,0.3,0.95,1.6,0.6425541218159524,4.05,4.95,7.2,0.18,0.12,13.481555767361266,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817448968105522,3314.0719524294896,3316.24746751737,349.694489046052,350.7379124064198,3.8936080722014044,2796.465482601269,2.157065476370368,979.8465573787826,177179.56381025634,13969.100961239441,1448.0890657440427
5,4.5,0.9,0.95,1.5,0.6425541218159524,4.05,4.95,6.75,0.54,0.36000000000000004,12.638809784999598,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817529108704053,3314.0927258732045,3316.2683040449588,349.69146904871434,350.7349077782339,3.82947214368127,2783.1384309234504,2.3676308007682096,1004.4068944018732,175954.48435008744,13872.513870174203,1438.0764879230587
6,4.5,0.5,0.95,1.5,0.6425541218159524,4.05,4.95,6.75,0.3,0.2,12.638904204144424,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817478145153294,3314.0812935042154,3316.256832580873,349.6934803961987,350.7369096077984,3.8294802393621707,2783.134988533978,2.3676174988855676,1004.3997954682256,175953.96172344158,13872.472665510279,1438.0722164940346
7,4.5,0.7,0.95,1.5,0.6425541218159524,4.05,4.95,6.75,0.42,0.27999999999999997,12.638870227942089,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817496361458907,3314.0802715323407,3316.2558216474354,349.6924804208811,350.7359122401036,3.829477715428546,2783.133996198277,2.3676197911175128,1004.4004363706562,175953.85242176705,13872.464048003307,1438.0713231711459
8,4.5,0.3,0.95,1.5,0.6425541218159524,4.05,4.95,6.75,0.18,0.12,12.638958531901187,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817448968105522,3314.0719524294896,3316.24746751737,349.694489046052,350.7379124064198,3.829485106916122,2783.1318075812214,2.367608528015542,1004.3946814028762,175953.5012036433,13872.436357442812,1438.0684526644477
9,4.5,0.9,0.95,1.4,0.6425541218159524,4.05,4.95,6.3,0.54,0.36000000000000004,11.796222465999623,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817529108704053,3314.0927258732045,3316.2683040449588,349.69146904871434,350.7349077782339,3.761523603334585,2768.3740582097107,2.6157892483274,1031.4217149833103,174596.0069972738,13765.409490374888,1426.9736487560256
10,4.5,0.5,0.95,1.4,0.6425541218159524,4.05,4.95,6.3,0.3,0.2,11.796310590534794,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817478145153294,3314.0812935042154,3316.256832580873,349.6934803961987,350.7369096077984,3.761531590302147,2768.370700019142,2.6157745646976567,1031.4144573498065,174595.49223846462,13765.368906022935,1426.9694416308525
11,4.5,0.7,0.95,1.4,0.6425541218159524,4.05,4.95,6.3,0.42,0.27999999999999997,11.796278879412617,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817496361458907,3314.0802715323407,3316.2558216474354,349.6924804208811,350.7359122401036,3.7615290854071914,2768.369692299123,2.6157771139686754,1031.4151140970055,174595.38159023944,13765.360182351902,1426.9685373026016
12,4.5,0.3,0.95,1.4,0.6425541218159524,4.05,4.95,6.3,0.18,0.12,11.796361296441107,0.5126485621862586,1256.807576956237,331.61065403817764,122.35405128152094,2.0303292352394777,0.016593886462884268,0.06817448968105522,3314.0719524294896,3316.24746751737,349.694489046052,350.7379124064198,3.7615363845004475,2768.3675755363874,2.615764672176766,1031.4092297732413,174595.0370495787,13765.333018252546,1426.9657213708272
