Mach,Dynamic_Pressure_kPa,Regime,CL,AoA_deg,CD_Total,CD_Friction,CD_Wave,L_D_Ratio,Thrust_Required_kN
0.7,7.762673412104953,Transonic,0.330687078826969,3.8770772937143145,0.014611787691245185,0.008663660298693778,0.0,22.631527764744614,212.19349723593962
0.7177257525083611,8.160791715460775,Transonic,0.3145547495929233,3.6879368906785808,0.014238614395878302,0.008854397945231525,0.0,22.091668532296126,213.37341562403364
0.7354515050167224,8.568865324349915,Transonic,0.29957476251168835,3.512306902416538,0.013954202891466937,0.009068525929433314,0.0,21.468425308254602,214.80937675325941
0.7531772575250836,8.986894238772363,Transonic,0.28563992479869543,3.348930567664409,0.013753646514168254,0.00931003090285302,0.0,20.76830493676312,216.52525038155844
0.7709030100334447,9.414878458728127,Transonic,0.2726552239404638,3.19669393041296,0.013634498329438766,0.009583978610084023,0.0,19.997451857232143,218.5534454725231
0.788628762541806,9.852817984217209,Transonic,0.26053620381993814,3.0546068011001677,0.013596930880909628,0.009896913312605782,0.0,19.16139797295994,220.93766502482097
0.8063545150501672,10.300712815239601,Transonic,0.24920758791944406,2.9217866146180747,0.013644139267223389,0.010257454724166646,0.0,18.264808284250115,223.7370669573491
0.8240802675585284,10.758562951795305,Transonic,0.23860210755270092,2.797444692143542,0.013784772449031285,0.010677219104024293,1.6677850306925317e-06,17.309107454252427,227.0403516007169
0.8418060200668895,11.226368393884325,Transonic,0.22865950095982723,2.680874506219419,0.014165841632510431,0.01117229512666333,0.00013990011644604217,16.141610706352704,231.60647835981518
0.8595317725752508,11.704129141506659,Transonic,0.21932565537347767,2.571441622073357,0.014884591072683737,0.01176571776738397,0.0004923252029069692,14.735081017844355,238.06842449623608
0.877257525083612,12.191845194662305,Transonic,0.2105518691838893,2.468575047013264,0.015951528841248046,0.0124918494625987,0.00103803926400585,13.19947895147433,246.69588935895302
0.8949832775919733,12.68951655335127,Transonic,0.202294215366213,2.3717597670530264,0.01738573209894951,0.013404690086505827,0.0017446737557973223,11.635645494528019,257.82235058079243
0.9127090301003344,13.197143217573545,Transonic,0.1945129905931826,2.280530288139552,0.019233924501144306,0.014595094179708558,0.002570315282180116,10.113016227219267,271.9619405434606
0.9304347826086956,13.714725187329131,Transonic,0.18717223710092287,2.194465030360048,0.021613072825662355,0.01623093131539605,0.0034659916506913396,8.660140027783708,290.0893948126221
0.9481605351170568,14.242262462618033,Transonic,0.18023932653077188,2.1131814487752076,0.024824187788366227,0.018668023831361694,0.004378576614525836,7.260633381739097,314.41083959814245
0.965886287625418,14.779755043440247,Transonic,0.17368459673329262,2.0363317751974357,0.029755657965429207,0.022850364589772,0.005253941008592496,5.837027597745722,351.11686123988386
0.9836120401337792,15.327202929795783,Transonic,0.16748103396912287,1.9635992922156043,0.04031513202109453,0.03273881804140849,0.006040163372776295,4.154297048599268,426.94652192871706
1.0013377926421405,15.88460612168463,Transonic,0.1616039941357088,1.8946950647713057,0.12191995899350981,0.11379850573155922,0.0066906096271441015,1.325492523700008,988.3071322450371
1.0190635451505017,16.451964619106786,Transonic,0.15603095763745548,1.829355066180901,0.038442472172645493,0.02994134522232941,0.007166699130899871,4.058816949563468,433.13422800001007
1.0367892976588629,17.02927842206226,Transonic,0.15074131333780255,1.7673376451230294,0.03009490688174663,0.0214086974402624,0.007440193058763542,5.008864587291054,382.0695669589948
1.054515050167224,17.61654753055104,Transonic,0.14571616771589252,1.7084212881325294,0.04105199881447192,0.01747050082785011,0.02241667388580525,3.5495511040627745,471.7607388027369
1.0722408026755852,18.21377194457314,Transonic,0.14093817592251226,1.6524026388481985,0.03555705347678034,0.015077129432257388,0.019389769822239295,3.963719210157514,439.59347175150225
1.0899665551839464,18.820951664128547,Transonic,0.1363913919097579,1.5990947408867633,0.03174546498111765,0.013422973147533233,0.017301104580979488,4.296405549292919,418.2462852184429
1.1076923076923078,19.438086689217286,Transonic,0.13206113521248697,1.548325475947542,0.028894749080740786,0.012190130528045457,0.01574664723923844,4.570419865681051,402.9978347434852
1.125418060200669,20.06517701983933,Transonic,0.12793387230018677,1.4999361727451597,0.026654362869168172,0.01122440675781216,0.014530542276450894,4.799734772432747,391.5750293942359
1.14314381270903,20.702222655994674,Transonic,0.12399711070605476,1.4537803657462351,0.024830778252084983,0.010440719438325616,0.013544784434942525,4.993686039447556,382.7326738270905
1.1608695652173913,21.34922359768335,Transonic,0.12023930438460158,1.4097226855527323,0.023307176655914027,0.009787749724785208,0.012724268506254046,5.158896170038327,375.7250225729061
1.1785953177257524,22.006179844905326,Transonic,0.11664976895710774,1.3676378652135577,0.022008256205079242,0.00923244959705847,0.01202709463020127,5.300273127963059,370.0751660025251
1.1963210702341138,22.67309139766063,Transonic,0.11321860568169487,1.3274098488262274,0.020882963427395894,0.008752439514583064,0.011424907035755149,5.421577549341771,365.4623457287427
1.2140468227424748,23.349958255949225,Supersonic,0.10993663313649518,17.702558845459638,0.05887505890400283,0.002644196836472108,0.056230862067530724,1.8672870173386908,749.1077498750211
1.2317725752508362,24.03678041977116,Supersonic,0.10679532573444402,17.5111523444646,0.057111236617095676,0.0026284325443433876,0.054482804072752286,1.8699529560260986,748.2734499091308
1.2494983277591973,24.733557889126402,Supersonic,0.10378675829995743,17.32450620170383,0.055424555052992985,0.0026127972451128155,0.052811757807880166,1.872577203384384,747.4545172651486
1.2672240802675585,25.44029066401495,Supersonic,0.10090355603396413,17.14243697871171,0.05381065570829916,0.002597288113652374,0.051213367594646786,1.8751593844339993,746.650949333087
1.2849498327759197,26.156978744436813,Supersonic,0.0981388492768008,16.96477074302983,0.05226547913423718,0.0025819024954006355,0.049683576638836546,1.877699217579997,745.8627159921357
1.3026755852842808,26.883622130391988,Supersonic,0.0954862325502913,16.791342452733392,0.050785240937951275,0.002566637894584855,0.04821860304336642,1.8801965056531897,745.0897627845729
1.3204013377926422,27.620220821880487,Supersonic,0.09293972742257008,16.62199538854762,0.04936640997892106,0.0025514919632881193,0.04681491801563294,1.8826511278064246,744.3320137588004
1.3381270903010032,28.366774818902282,Supersonic,0.09049374879326177,16.45658062929197,0.04800568853595582,0.0025364624912936934,0.04546922604466212,1.8850630321755053,743.5893740176595
1.3558528428093646,29.12328412145741,Supersonic,0.08814307424365801,16.29495656682201,0.04669999424554165,0.002521547396645015,0.04417844684889664,1.887432229225014,742.8617320039201
1.3735785953177257,29.889748729545854,Supersonic,0.08588281613753701,16.136988457023005,0.045446443634518274,0.0025067447168654355,0.04293969891765284,1.8897587857084992,742.1489615511335
1.391304347826087,30.66616864316759,Supersonic,0.0837083961940807,15.982548003749649,0.044242337089564925,0.0024920526007868736,0.04175028448877805,1.892042819180642,741.4509237247813
1.409030100334448,31.45254386232266,Supersonic,0.0816155222856814,15.83151297290988,0.04308514512314124,0.0024774693009410364,0.0406076758222002,1.8942844930060434,740.7674684758159
1.4267558528428093,32.24887438701103,Supersonic,0.0796001672408973,15.68376683416091,0.04197249581065408,0.0024629931664709812,0.0395095026441831,1.896484011815471,740.0984361261933
1.4444816053511706,33.055160217232725,Supersonic,0.07765854945693164,15.539198427926635,0.04090216328696855,0.0024486226365244,0.03845354065044415,1.8986416173658396,739.4436587038032
1.4622073578595316,33.87140135298771,Supersonic,0.07578711514722543,15.397701655661383,0.039872057202179303,0.0024343562340933263,0.03743770096808598,1.9007575847649791,738.8029611422717
1.479933110367893,34.69759779427604,Supersonic,0.07398252206843667,15.259175191477537,0.038880213046997125,0.0024201925602679256,0.0364600204867292,1.9028322190263984,738.1761623594218
1.4976588628762542,35.53374954109768,Supersonic,0.07224162458757143,15.123522213427922,0.03792478326735816,0.0024061302888747182,0.035518652978483445,1.9048658519230024,737.5630762266702
1.5153846153846153,36.379856593452615,Supersonic,0.0705614599645992,14.990650152888577,0.03700402909607178,0.00239216816147199,0.034611860934599795,1.9068588391119212,736.9635124403242
1.5331103678929767,37.235918951340885,Supersonic,0.06893923573878462,14.860470460627333,0.0361163130366172,0.0023783049826773617,0.03373800805393984,1.908811557505587,736.3772773045581
1.5508361204013377,38.101936614762444,Supersonic,0.06737231811839682,14.732898388269014,0.035260091940689936,0.002364539615804474,0.03289555232488546,1.9107244028666177,735.8041744348388
1.568561872909699,38.977909583717334,Supersonic,0.06585822128360404,14.607852783981023,0.034433910626876896,0.0023508709787875394,0.032083039648089354,1.9125977876064808,735.244005389619
1.5862876254180602,39.86383785820554,Supersonic,0.06439459752138176,14.48525590130534,0.03363639599299748,0.0023372980403741817,0.0312990979526233,1.9144321387697898,734.6965702373312
1.6040133779264214,40.759721438227054,Supersonic,0.06297922811928879,14.365033220154757,0.03286625157924891,0.002323819816568448,0.030542431762680462,1.9162278961879728,734.1616680649707
1.6217391304347826,41.66556032378188,Supersonic,0.06161001495212258,14.247113279074792,0.03212225254341157,0.0023104353673072788,0.029811817176104292,1.9179855107875707,733.6390974339289
1.6394648829431437,42.581354514870014,Supersonic,0.06028497270185072,14.131427517947891,0.031403241013052405,0.002297143793354941,0.029106097219697463,1.9197054430399063,733.1286567881455
1.6571906354515051,43.50710401149148,Supersonic,0.05900222165692169,14.017910130385,0.030708121782965912,0.0022839442334010706,0.028424177549564843,1.9213881615400779,732.6301448191592
1.674916387959866,44.44280881364623,Supersonic,0.057759981042164926,13.906497925111527,0.030035858329052548,0.0022708358613490265,0.027765022467703522,1.9230341417044134,732.1433607921581
1.6926421404682275,45.38846892133433,Supersonic,0.0565565628350634,13.797130195711103,0.029385469112494005,0.0022578178837821964,0.02712765122871181,1.9246438645764852,731.6681048367452
