phi,h0,Ma0,T_mix,T_at_tau,T_ad,T_check_ok,NOx_ppm,NO_ppm,NO2_ppm,tau_res_ms,t1_us,EI_NOx,EI_H2O,mdot_fuel_gs,MW_mix,Ma_COMB,Da,eta_exit,converged,error
0.3,20000,2.75,494.13396209976344,494.13396209976344,1358.5713475338116,False,1.7891467990252792e-28,1.7891467990252792e-28,1.3845441282386727e-49,2.562469672242992,0.256246967224299,6.108912970830468e-29,1.1914007136162976e-19,1685.0742186646244,25.847059701492533,0.24012865098621647,1.0,1.0,True,
0.3,20000,3.0,549.6235698024573,549.6235698024573,1407.0284391429486,False,9.757813284248119e-23,9.757813284248119e-23,5.23977986175191e-41,3.3791073948077797,0.33791073948077766,3.331735113719639e-23,3.1830805326836314e-16,1838.2627839968109,25.847059701492533,0.19571943005595469,1.0,1.0,True,
0.3,20000,3.5,671.7233189775346,671.7233189774574,1513.9688100510728,False,5.386195871537761e-15,5.386195871537385e-15,3.7676565362478563e-28,5.3698700535066255,0.5369870053506628,1.83907781300799e-15,1.3749416951108856e-10,2144.639914664026,25.84705970153543,0.1311368346982579,1.0,1.0,True,
0.3,20000,4.0,807.9568595586485,808.368995131176,1634.212628963827,False,0.0018974888211968947,0.0018973266489256601,1.6217227123464198e-07,7.999994046512812,66152.82470533333,0.0006116240080521972,6.621836679922909,2451.017045328399,27.37939263678705,0.08984611332646748,0.0,1.0,True,
0.3,20000,4.5,957.4572697628923,1775.8188071364302,1767.399923781646,True,2.9722776978478747,2.9715968793012015,0.0006808185466733024,11.322279442875299,2104.1099820742306,0.9580625813645364,14964.391942653048,2757.394175995387,27.379443248238346,0.06366700612469126,0.36615292045840075,1.0,True,
0.3,20000,5.0,1120.1034505392352,1926.8153512415925,1912.6767973942028,True,5.967027085859539,5.966798851038435,0.0002282348211035673,15.286864376652568,81.316999262804,1.923368733876628,14964.561756065163,3063.771306659646,27.37944028133357,0.05,0.9790380566727879,1.0,True,
0.3,20000,5.5,1295.6548907228162,2091.6077024772367,2068.670612339427,True,16.809998755329744,16.809851710490644,0.00014704483909913228,19.68585448983458,2.9630778707382563,5.418425820000334,14964.42303161541,3370.14843732959,27.379383029056854,0.05,1.0,1.0,True,
0.3,25000,2.75,504.9742481036436,504.9742481036436,1368.0124562200983,False,1.9527779453647236e-28,1.9527779453647236e-28,2.5810255274381965e-49,2.5801710001183356,0.2580171000118334,6.667619742604347e-29,5.775816670089347e-19,764.0918497941698,25.847059701492533,0.23990010423010688,1.0,1.0,True,
0.3,25000,3.0,561.6347295091966,561.6347295091966,1417.4916729449321,False,1.692737951432911e-23,1.692737951432911e-23,1.1049731441319863e-41,3.396375579088654,0.33963755790886546,5.779731899786271e-24,1.346680564453206e-15,833.5547452304581,25.847059701492533,0.1954573729044724,1.0,1.0,True,
0.3,25000,3.5,686.2337960913287,686.2337960912565,1526.6458337881195,False,3.109042319690926e-15,3.1090423196906436e-15,2.8192871711143045e-28,5.391225504029883,0.539122550402988,1.0615601226208052e-15,4.044706761337464e-10,972.480536101699,25.84705970153895,0.1308284334275573,1.0,1.0,True,
0.3,25000,4.0,825.1619202632169,825.5529154010034,1649.3064498381284,False,0.001647793517919407,0.0016476471148491178,1.4640307028925485e-07,8.03090624514121,72400.57987955601,0.0005311412591433084,6.216863884948222,1111.4063269729968,27.379269685628046,0.08952153695819795,0.0,1.0,True,
0.3,25000,4.5,977.5889202392647,1794.216914955446,1785.0082097944373,True,2.5758237537489497,2.5748451639691132,0.000978589779836132,11.370308430179175,1687.944016356578,0.8302757422123594,14961.495143844246,1250.3321178456588,27.379335441861805,0.06335113346522254,0.40397542751742144,1.0,True,
0.3,25000,5.0,1143.4783054172133,1948.4934733479502,1932.7030878378653,True,7.37470077341314,7.374259417119332,0.00044135629380743076,15.359127838552162,19.36051164399184,2.3771173602563813,14962.035588003711,1389.2579087156491,27.379334530787325,0.05,1.0,1.0,True,
0.3,25000,5.5,1322.5396018094168,2116.824107307588,2090.8050349617024,True,24.409829195562367,24.409518581961468,0.0003106136008966892,19.789976541735353,2.4209680125874344,7.868140049898,14961.984669337246,1528.1836995882259,27.37926386156641,0.05,1.0,1.0,True,
0.3,30000,2.75,515.7944201696087,515.7944201696087,1377.4275354982126,False,2.0846472550990387e-28,2.0846472550990387e-28,4.345705986919222e-49,2.5972174671283765,0.25972174671283754,7.117878009357906e-29,2.6990624598951355e-18,352.6361303308221,25.847059701492533,0.2396620346393382,1.0,1.0,True,
