range_m,range_km,altitude_m,altitude_km,mach,segment
0.0,0.0,0.0,0.0,0.3,ascent
4065.929205998891,4.065929205998891,420.0372381042596,0.4200372381042596,0.4424242424242424,ascent
9502.705553405773,9.502705553405773,1138.779714496001,1.138779714496001,0.5848484848484848,ascent
16172.86220143191,16.17286220143191,2057.1652451022096,2.0571652451022095,0.7272727272727273,ascent
23789.18045507269,23.78918045507269,3279.1743238823933,3.279174323882393,0.8696969696969696,ascent
31345.202121379854,31.345202121379856,5390.920404408462,5.390920404408462,1.0121212121212122,ascent
39961.88592477064,39.96188592477064,6997.120884005789,6.997120884005789,1.1545454545454545,ascent
51328.326801943476,51.328326801943476,7132.815551824119,7.13281555182412,1.2969696969696969,ascent
64189.52278116773,64.18952278116774,7136.102936740937,7.136102936740937,1.4393939393939394,ascent
78391.0785640438,78.3910785640438,7137.848827848344,7.137848827848344,1.5818181818181818,ascent
93931.35684821784,93.93135684821783,7139.2714404277285,7.139271440427729,1.7242424242424244,ascent
110806.84152891854,110.80684152891854,7141.588989760485,7.141588989760485,1.8666666666666667,ascent
129003.6809999161,129.0036809999161,7148.257421706924,7.148257421706924,2.009090909090909,ascent
146173.5167635412,146.17351676354122,7726.740947731451,7.726740947731451,2.1515151515151514,ascent
160073.88146803962,160.07388146803962,9139.44880850266,9.13944880850266,2.293939393939394,ascent
171137.28804659078,171.13728804659078,11129.768417414722,11.129768417414722,2.436363636363636,ascent
192141.5962921116,192.1415962921116,13441.087187861827,13.441087187861827,2.5787878787878786,ascent
214346.15717957978,214.3461571795798,15816.79253323815,15.81679253323815,2.721212121212121,ascent
237776.1208035018,237.7761208035018,18000.27186693786,18.000271866937858,2.8636363636363633,ascent
262446.8421841484,262.44684218414835,19735.638648630742,19.735638648630744,3.006060606060606,ascent
288335.43421008385,288.33543421008386,21233.285027610564,21.233285027610563,3.1484848484848484,ascent
315424.50274598517,315.4245027459852,22760.241030958772,22.760241030958774,3.2909090909090906,ascent
343717.8826545496,343.7178826545496,24244.123003859782,24.244123003859784,3.433333333333333,ascent
383025.7499283994,383.0257499283994,25612.547291497955,25.612547291497954,3.5757575757575757,ascent
416762.6245398043,416.7626245398043,26793.13023905769,26.79313023905769,3.718181818181818,ascent
451557.67893184227,451.55767893184225,27713.488191723376,27.713488191723375,3.8606060606060604,ascent
487151.7818790437,487.15178187904365,28301.32360584947,28.30132360584947,4.003030303030303,ascent
523718.2174133002,523.7182174133002,28693.276231323845,28.693276231323846,4.1454545454545455,ascent
561575.8260206239,561.5758260206239,29051.777506507315,29.051777506507314,4.287878787878788,ascent
600687.9016389248,600.6879016389248,29367.04132774098,29.367041327740978,4.43030303030303,ascent
641009.7397403975,641.0097397403975,29629.281591365972,29.629281591365974,4.572727272727272,ascent
682488.0924064965,682.4880924064965,29828.712193723397,29.828712193723398,4.715151515151515,ascent
725060.6233600025,725.0606233600025,29955.547031154372,29.95554703115437,4.857575757575757,ascent
768655.3627513212,768.6553627513211,30000.0,30.0,5.0,ascent
869355.3961058867,869.3553961058867,30000.0,30.0,5.0,cruise
970055.4294604522,970.0554294604522,30000.0,30.0,5.0,cruise
1070755.4628150177,1070.7554628150176,30000.0,30.0,5.0,cruise
1171455.4961695832,1171.4554961695833,30000.0,30.0,5.0,cruise
1272155.5295241487,1272.1555295241487,30000.0,30.0,5.0,cruise
1372855.562878714,1372.855562878714,30000.0,30.0,5.0,cruise
1473555.5962332794,1473.5555962332794,30000.0,30.0,5.0,cruise
1574255.629587845,1574.2556295878449,30000.0,30.0,5.0,cruise
1674955.6629424104,1674.9556629424105,30000.0,30.0,5.0,cruise
1775655.696296976,1775.655696296976,30000.0,30.0,5.0,cruise
1876355.7296515414,1876.3557296515414,30000.0,30.0,5.0,cruise
1977055.763006107,1977.0557630061069,30000.0,30.0,5.0,cruise
2077755.7963606725,2077.7557963606723,30000.0,30.0,5.0,cruise
2178455.829715238,2178.455829715238,30000.0,30.0,5.0,cruise
2279155.8630698035,2279.1558630698037,30000.0,30.0,5.0,cruise
2379855.896424369,2379.855896424369,30000.0,30.0,5.0,cruise
2480555.9297789345,2480.5559297789346,30000.0,30.0,5.0,cruise
2581255.9631335,2581.2559631335,30000.0,30.0,5.0,cruise
2681955.9964880655,2681.9559964880655,30000.0,30.0,5.0,cruise
2782656.029842631,2782.656029842631,30000.0,30.0,5.0,cruise
2883356.0631971965,2883.3560631971964,30000.0,30.0,5.0,cruise
2984056.096551762,2984.056096551762,30000.0,30.0,5.0,cruise
3084756.1299063275,3084.7561299063273,30000.0,30.0,5.0,cruise
3185456.163260893,3185.456163260893,30000.0,30.0,5.0,cruise
3286156.1966154585,3286.1561966154586,30000.0,30.0,5.0,cruise
3386856.229970024,3386.856229970024,30000.0,30.0,5.0,cruise
3487556.2633245895,3487.5562633245895,30000.0,30.0,5.0,cruise
3588256.296679155,3588.256296679155,30000.0,30.0,5.0,cruise
3688956.3300337205,3688.9563300337204,30000.0,30.0,5.0,cruise
3789656.363388286,3789.656363388286,30000.0,30.0,5.0,cruise
3890356.3967428515,3890.3563967428513,30000.0,30.0,5.0,cruise
3991056.430097417,3991.056430097417,30000.0,30.0,5.0,cruise
4091756.4634519825,4091.7564634519827,30000.0,30.0,5.0,cruise
4192456.496806548,4192.456496806548,30000.0,30.0,5.0,cruise
4293156.5301611135,4293.156530161114,30000.0,30.0,5.0,cruise
4393856.563515679,4393.856563515679,30000.0,30.0,5.0,cruise
4494556.5968702445,4494.556596870245,30000.0,30.0,5.0,cruise
4595256.63022481,4595.25663022481,30000.0,30.0,5.0,cruise
4695956.6635793755,4695.956663579375,30000.0,30.0,5.0,cruise
4796656.696933941,4796.656696933941,30000.0,30.0,5.0,cruise
4897356.7302885065,4897.356730288507,30000.0,30.0,5.0,cruise
4998056.763643071,4998.0567636430715,30000.0,30.0,5.0,cruise
