gamma_deg,h_cruise_m,x_m,rho,v
5,25000.0,3600.0,1.171929029890847,103.12744743667545
5,25000.0,3700.0,1.170493353614484,104.54996218551808
5,25000.0,3800.0,1.1690597168576715,105.95338017818153
5,25000.0,3900.0,1.1676281163244122,107.33845047032905
5,25000.0,4000.0,1.1661985487246773,108.70587439306253
5,25000.0,4100.0,1.1647710107743965,110.05630970439312
5,25000.0,4200.0,1.1633454991954466,111.39037428763
5,25000.0,4300.0,1.1619220107156405,112.70864945569753
5,25000.0,4400.0,1.1605005420687091,114.01168291151707
5,25000.0,4500.0,1.159081089994299,115.29999140722137
5,25000.0,4600.0,1.1576636512379557,116.57406313882318
5,25000.0,4700.0,1.1562482225511075,117.83435990781014
5,25000.0,4800.0,1.154834800691063,119.0813190768071
5,25000.0,4900.0,1.1534233824209918,120.31535534278802
5,25000.0,5000.0,1.1520139645099172,121.53686234822074
5,25000.0,5100.0,1.150606543732701,122.74621414788875
5,25000.0,5200.0,1.1492011168700365,123.94376654688355
5,25000.0,5300.0,1.1477976807084282,125.12985832333297
5,25000.0,5400.0,1.1463962320401908,126.30481234777393
5,25000.0,5500.0,1.1449967676634312,127.46893660965165
5,25000.0,5600.0,1.1435992843820393,128.62252516019265
5,25000.0,5700.0,1.1422037790056696,129.76585897983108
5,25000.0,5800.0,1.1408102483497466,130.8992067774378
5,25000.0,5900.0,1.139418689235431,132.02282572779384
5,25000.0,6000.0,1.1380290984896253,133.13696215304157
5,25000.0,6100.0,1.1366414729449552,134.2418521532292
5,25000.0,6200.0,1.1352558094397611,135.33772219052028
5,25000.0,6300.0,1.1338721048180784,136.42478963116437
5,25000.0,6400.0,1.1324903559296438,137.5032632489006
5,25000.0,6500.0,1.1311105596298614,138.573343693098
5,25000.0,6600.0,1.1297327127798096,139.63522392460462
5,25000.0,6700.0,1.1283568122462213,140.68908962198697
5,25000.0,6800.0,1.126982854901475,141.73511956058204
5,25000.0,6900.0,1.1256108376235778,142.77348596655293
5,25000.0,7000.0,1.1242407572961695,143.80435484793395
5,25000.0,7100.0,1.1228726108084894,144.82788630446663
5,25000.0,7200.0,1.1215063950553843,145.8442348178649
5,25000.0,7300.0,1.120142106937287,146.85354952399862
5,25000.0,7400.0,1.1187797433602102,147.85597446835393
5,25000.0,7500.0,1.117419301235727,148.85164884600889
5,25000.0,7600.0,1.1160607774809759,149.84070722725698
5,25000.0,7700.0,1.1147041690186297,150.82327976991334
5,25000.0,7800.0,1.1133494727769004,151.79949241925203
5,25000.0,7900.0,1.1119966856895207,152.76946709644426
5,25000.0,8000.0,1.1106458046957364,153.73332187629515
5,25000.0,8100.0,1.109296826740287,154.6911711550132
5,25000.0,8200.0,1.1079497487734122,155.6431258086864
5,25000.0,8300.0,1.1066045677508198,156.58929334308777
5,25000.0,8400.0,1.1052612806336906,157.52977803538164
5,25000.0,8500.0,1.103919884388661,158.46468106826077
5,25000.0,8600.0,1.1025803759878143,159.3941006570024
5,25000.0,8700.0,1.1012427524086634,160.31813216989406
5,25000.0,8800.0,1.099907010634155,161.2368682424483
5,25000.0,8900.0,1.098573147652641,162.15039888579258
5,25000.0,9000.0,1.0972411604578751,163.05881158959377
5,25000.0,9100.0,1.0959110460490125,163.96219141985034
5,25000.0,9200.0,1.0945828014305785,164.86062111186118
5,25000.0,9300.0,1.0932564236124758,165.75418115865938
5,25000.0,9400.0,1.091931909609964,166.6429498951776
5,25000.0,9500.0,1.0906092564436545,167.5270035783953
5,25000.0,9600.0,1.089288461139491,168.40641646369858
5,25000.0,9700.0,1.0879695207287552,169.2812608776698
5,25000.0,9800.0,1.086652432248036,170.15160728750905
5,25000.0,9900.0,1.0853371927392352,171.0175243672756
5,25000.0,10000.0,1.084023799249549,171.87907906112574
5,25000.0,10100.0,1.0827122488314613,172.73633664371175
5,25000.0,10200.0,1.0814025385427253,173.58936077789656
5,25000.0,10300.0,1.0800946654463688,174.43821356992777
5,25000.0,10400.0,1.0787886266106645,175.28295562220742
5,25000.0,10500.0,1.0774844191091344,176.12364608378329
5,25000.0,10600.0,1.076182040020533,176.9603426986814
5,25000.0,10700.0,1.0748814864288392,177.79310185219157
5,25000.0,10800.0,1.073582755423239,178.62197861521068
5,25000.0,10900.0,1.0722858440981313,179.4470267867422
5,25000.0,11000.0,1.070990749553097,180.26829893464568
5,25000.0,11100.0,1.0696974688929046,181.08584643472219
5,25000.0,11200.0,1.0684059992274932,181.89971950821916
5,25000.0,11300.0,1.0671163376719646,182.70996725783135
5,25000.0,11400.0,1.065828481346566,183.51663770227157
5,25000.0,11500.0,1.0645424273766961,184.31977780947932
5,25000.0,11600.0,1.0632581728928743,185.11943352853268
5,25000.0,11700.0,1.0619757150307463,185.91564982032534
5,25000.0,11800.0,1.0606950509310673,186.70847068706564
5,25000.0,11900.0,1.0594161777396944,187.4979392006532
5,25000.0,12000.0,1.0581390926075693,188.28409752998485
5,25000.0,12100.0,1.0568637926907243,189.06698696723828
5,25000.0,12200.0,1.055590275150252,189.84664795318054
5,25000.0,12300.0,1.054318537152311,190.62312010154454
5,25000.0,12400.0,1.0530485758681087,191.39644222251596
5,25000.0,12500.0,1.051780388473895,192.16665234536896
5,25000.0,12600.0,1.0505139721509449,192.93378774028906
5,25000.0,12700.0,1.0492493240855592,193.69788493941775
5,25000.0,12800.0,1.047986441469047,194.4589797571532
5,25000.0,12900.0,1.046725321497719,195.21710730973842
5,25000.0,13000.0,1.0454659613728763,195.9723020341674
5,25000.0,13100.0,1.0442083583008022,196.72459770643815
5,25000.0,13200.0,1.042952509492747,197.47402745917992
5,25000.0,13300.0,1.0416984121649273,198.2206237986803
5,25000.0,13400.0,1.0404460635385109,198.9644186213378
5,25000.0,13500.0,1.0391954608396028,199.70544322956238
5,25000.0,13600.0,1.0379466012992449,200.44372834714727
5,25000.0,13700.0,1.0366994821534001,201.17930413413296
5,25000.0,13800.0,1.0354541006429434,201.91220020118396
5,25000.0,13900.0,1.0342104540136539,202.64244562349714
5,25000.0,14000.0,1.0329685395162045,203.3700689542613
5,25000.0,14100.0,1.031728354406148,204.0950982376843
5,25000.0,14200.0,1.030489895943916,204.81756102160531
5,25000.0,14300.0,1.0292531613948022,205.53748436970815
5,25000.0,14400.0,1.0280181480289579,206.2548948733509
5,25000.0,14500.0,1.0267848531213735,206.9698186630264
5,25000.0,14600.0,1.025553273951885,207.68228141946784
5,25000.0,14700.0,1.0243234078051455,208.3923083844124
5,25000.0,14800.0,1.0230952519706307,209.09992437103617
5,25000.0,14900.0,1.0218688037426216,209.80515377407215
5,25000.0,15000.0,1.0206440604201994,210.50802057962326
5,25000.0,15100.0,1.0194210193072275,211.20854837468124
5,25000.0,15200.0,1.018199677712359,211.90676035636307
5,25000.0,15300.0,1.016980032949007,212.60267934087307
5,25000.0,15400.0,1.0157620823353497,213.2963277722031
5,25000.0,15500.0,1.014545823194316,213.9877277305783
5,25000.0,15600.0,1.0133312528535776,214.6769009406581
5,25000.0,15700.0,1.012118368645533,215.36386877950096
5,25000.0,15800.0,1.0109071679073132,216.04865228430177
5,25000.0,15900.0,1.0096976479807545,216.73127215990806
5,25000.0,16000.0,1.008489806212402,217.41174878612506
5,25000.0,16100.0,1.0072836399534961,218.09010222481473
5,25000.0,16200.0,1.0060791465599639,218.76635222679735
5,25000.0,16300.0,1.004876323392405,219.44051823856086
5,25000.0,16400.0,1.0036751678160951,220.11261940878623
5,25000.0,16500.0,1.0024756772009604,220.78267459469316
5,25000.0,16600.0,1.0012778489215817,221.45070236821374
5,25000.0,16700.0,1.0000816803571784,222.11672102199825
5,25000.0,16800.0,0.9988871688916032,222.78074857526
5,25000.0,16900.0,0.997694311913326,223.4428027794635
5,25000.0,17000.0,0.9965031068154387,224.10290112386141
5,25000.0,17100.0,0.9953135509956287,224.76106084088548
5,25000.0,17200.0,0.9941256418561839,225.41729891139505
5,25000.0,17300.0,0.9929393768039766,226.07163206978944
5,25000.0,17400.0,0.9917547532504584,226.72407680898655
5,25000.0,17500.0,0.9905717686116439,227.37464938527393
5,25000.0,17600.0,0.9893904203081156,228.02336582303414
5,25000.0,17700.0,0.9882107057649983,228.67024191935047
5,25000.0,17800.0,0.9870326224119632,229.31529324849504
5,25000.0,17900.0,0.985856167683214,229.95853516630405
5,25000.0,18000.0,0.9846813390174749,230.59998281444274
5,25000.0,18100.0,0.9835081338579886,231.23965112456452
5,25000.0,18200.0,0.982336549652503,231.8775548223659
5,25000.0,18300.0,0.9811665838532645,232.51370843154243
5,25000.0,18400.0,0.9799982339170032,233.14812627764636
5,25000.0,18500.0,0.9788314973049382,233.78082249185096
5,25000.0,18600.0,0.9776663714827503,234.411811014623
5,25000.0,18700.0,0.9765028539205881,235.04110559930646
5,25000.0,18800.0,0.9753409420930531,235.66871981562028
5,25000.0,18900.0,0.9741806334791921,236.29466705307243
5,25000.0,19000.0,0.9730219255624843,236.91896052429271
5,25000.0,19100.0,0.9718648158308447,237.5416132682869
5,25000.0,19200.0,0.9707093017765989,238.1626381536142
