mach,altitude_m,rho,T_K,V_m_s,q_Pa,CL,CD,CD_f,CD_wave,CD_induced,alpha_deg,drag_kN,accel_kN,thrust_req_kN,L_over_D,aero_regime,mode,transition_mach,T_available_kN,T_required_with_margin_kN,thrust_margin_kN,thrust_deficit_kN
0.3,0.0,1.2250122659906946,288.15,102.0876860595831,6383.474999999999,0.3951721325095545,0.014772982204241572,0.006359374436461372,0.0,0.0084136077677802,4.6331199498216,33.00603690167734,132.435,165.44103690167734,26.74965196912604,transonic,turbojet,2.75,1423.2437242830702,165.44103690167734,1257.8026873813928,0.0
0.4424242424242424,1543.7271110742392,1.0534862197651351,278.1157737780174,147.90897245809862,11523.592796838413,0.21890494336657884,0.008700186457765005,0.006109654264269398,0.0,0.0025905321934956067,2.5665090647598796,35.09009209854817,132.435,167.52509209854816,25.16094849567321,transonic,turbojet,2.75,2509.4641295534466,167.52509209854816,2341.9390374548984,0.0
0.5848484848484848,2937.258513775202,0.9150156879172423,269.0578196604612,192.31314573257853,16920.628408543518,0.14908260897081924,0.007143768138723009,0.005938163195542519,0.0,0.0012056049431804897,1.7478904835918685,42.30696613924361,132.435,174.74196613924363,20.868903648021902,transonic,turbojet,2.75,2617.938575671801,174.74196613924363,2443.1966095325574,0.0
0.7272727272727273,4163.743289870158,0.8050726284090421,261.08566861584393,235.576308448791,22339.234633951583,0.11292112151136896,0.006491808232696836,0.005797776022359482,0.0,0.0006940322103373544,1.3239220526713205,50.75770955809161,132.435,183.19270955809162,17.394401908335347,transonic,turbojet,2.75,1769.007977186557,183.19270955809162,1585.8152676284653,0.0
0.8696969696969696,5262.0291658269925,0.7154717368216872,253.94681042212454,277.8319144546706,27613.836554225585,0.09135171867979403,0.006911303095577017,0.005672062513948044,0.0007834703411384245,0.00045577024049054873,1.0710357220232654,66.79665792029198,132.435,199.231657920292,13.217727166133953,transonic,turbojet,2.75,1203.029100699839,199.231657920292,1003.797442779547,0.0
1.0121212121212122,6379.8232987652145,0.6323227275369703,246.68114855802608,318.67155627416264,32106.679948452907,0.07856842976668416,0.012904085723280907,0.005562724999078554,0.007003064610828365,0.0003382961133739873,0.9211605005304375,145.0075726206732,132.435,277.4425726206732,6.088647537805404,transonic,turbojet,2.75,1062.7393791077939,277.4425726206732,785.2968064871206,0.0
1.1545454545454545,7084.153807270053,0.5838663123646134,242.10300025274464,360.1255337493551,37860.927815553245,0.06662730086437972,0.01867647115197659,0.0054313136679000635,0.013001040070111892,0.0002441174139646356,0.7811590227204598,247.4879841469869,132.435,379.92298414698683,3.567445922851884,transonic,turbojet,2.75,876.1933671791244,379.92298414698683,496.27038303213754,0.0
1.2969696969696969,7139.855437052751,0.5801592337601755,241.7409396591571,404.2478562784424,47403.746196952416,0.053214600763633414,0.03112846995134263,0.0057646271445438695,0.02536384280679876,0.0,13.485480808951486,516.462131175517,132.435,648.897131175517,1.709515464358317,supersonic,turbojet,2.75,843.5658446669506,648.897131175517,194.66871349143366,0.0
1.4393939393939394,7141.436894916419,0.5800542474584072,241.73066018304326,448.63002133923106,58373.439016616765,0.04321437062930874,0.025835056328154957,0.005686122809549938,0.020148933518605017,0.0,12.472708842440152,527.8283797718443,132.435,660.2633797718444,1.6727027833964452,supersonic,turbojet,2.75,859.969672317912,660.2633797718444,199.70629254606763,0.0
1.5818181818181818,7142.276253800181,0.5799985318751706,241.7252043502988,493.0152176033323,70488.38296450344,0.03578705202872572,0.021964021647335047,0.0056161865232408365,0.016347835124094212,0.0,11.620767142761784,541.8729292612989,132.435,674.3079292612988,1.6293487869999372,supersonic,turbojet,2.75,876.2186143840785,674.3079292612988,201.91068512277968,0.0
