success,error,Altitude_km,Mach,Thrust_N,Thrust_kN,Isp_s,Ia_Ns_per_kg,mdot_air_kg_s,mfuel_kg_s,phi,Ma_exit,T_exit_K,p_exit_Pa
True,,14.0,2.75,93103.20809813481,93.10320809813481,8999.311413240439,931.0320809813481,100.0,1.4556040756914967,0.5,2.788380858462987,774.1263921103065,8519.89342184082
True,,14.0,3.0,119966.0232449837,119.9660232449837,11595.858233496017,1199.6602324498372,100.0,1.4556040756914967,0.5,2.78555115426729,1142.3270140868592,11263.339023701506
True,,14.0,3.25,134512.60235888988,134.5126023588899,13001.92358954043,1345.1260235888988,100.0,1.4556040756914967,0.5,2.919477516358067,1304.9133626256887,12424.484946906357
True,,14.0,3.5,133989.72788100626,133.98972788100625,12951.382793442936,1339.8972788100625,100.0,1.4556040756914967,0.5,3.1500230902406936,1204.3323887535555,11937.855084348363
True,,14.0,3.75,132875.97233689806,132.87597233689806,12843.727717056223,1328.7597233689805,100.0,1.4556040756914967,0.5,3.365951404977053,1121.2284521769182,11571.937363170095
True,,14.0,4.0,131281.72632986054,131.28172632986053,12689.628663116822,1312.8172632986054,100.0,1.4556040756914967,0.5,3.570886720225183,1050.601603886778,11283.834919358396
True,,14.0,4.25,129281.95140225865,129.28195140225864,12496.331378334644,1292.8195140225864,100.0,1.4556040756914967,0.5,3.7660403248435133,989.8884557114178,11054.930251916188
True,,14.0,4.5,126919.25899328271,126.91925899328271,12267.954663971997,1269.192589932827,100.0,1.4556040756914967,0.5,3.9494015339804096,938.5086386063164,10887.614819175626
True,,14.0,4.75,124297.9735391224,124.2979735391224,12014.582469964229,1242.979735391224,100.0,1.4556040756914967,0.5,4.12480037381744,893.6143849517193,10756.805562937048
True,,14.0,5.0,121435.83892124885,121.43583892124886,11737.92991137881,1214.3583892124886,100.0,1.4556040756914967,0.5,4.289341225399033,855.4650522131474,10672.371664257449
True,,16.0,2.0,62978.68643386339,62.97868643386339,6087.48960634915,629.7868643386339,100.0,1.4556040756914967,0.5,2.4089074927472245,499.3806174283406,4165.363979157262
True,,16.0,2.25,69902.39903529632,69.90239903529631,6756.732343617622,699.0239903529632,100.0,1.4556040756914967,0.5,2.56089031871252,551.6112044253446,4650.176495513257
True,,16.0,2.5,79349.22914277858,79.34922914277858,7669.858408141619,793.4922914277859,100.0,1.4556040756914967,0.5,2.6952952343939254,631.9555945257787,5272.259483089685
True,,16.0,2.75,93316.16229035662,93.31616229035662,9019.895463260918,933.1616229035661,100.0,1.4556040756914967,0.5,2.7931417378190275,773.8193132856763,6203.756482016962
True,,16.0,3.0,120483.60487513487,120.48360487513487,11645.887425471803,1204.8360487513487,100.0,1.4556040756914967,0.5,2.788007070704012,1146.857612414966,8225.271104114347
True,,16.0,3.25,134208.65981251188,134.20865981251188,12972.544648873789,1342.0865981251188,100.0,1.4556040756914967,0.5,2.9293733846403147,1292.1626973976122,8992.380945580722
True,,16.0,3.5,133639.40997411072,133.63940997411072,12917.521232684854,1336.3940997411073,100.0,1.4556040756914967,0.5,3.1619438133771705,1190.9898841328725,8631.533036144445
True,,16.0,3.75,132511.84395022198,132.511843950222,12808.531241950395,1325.1184395022199,100.0,1.4556040756914967,0.5,3.380035095123318,1107.736481244398,8359.901138626998
True,,16.0,4.0,130897.98980854008,130.89798980854007,12652.536875126483,1308.9798980854007,100.0,1.4556040756914967,0.5,3.587492470701016,1036.7647953034518,8143.660110554443
True,,16.0,4.25,128893.61704729394,128.89361704729393,12458.795165950814,1288.9361704729395,100.0,1.4556040756914967,0.5,3.785392137961394,975.8230295329826,7970.706403367561
True,,16.0,4.5,126489.20610075767,126.48920610075767,12226.385957768895,1264.8920610075768,100.0,1.4556040756914967,0.5,3.971969563043795,923.6962296215255,7839.868637019995
True,,16.0,4.75,123840.21974903678,123.84021974903678,11970.336208296969,1238.4021974903678,100.0,1.4556040756914967,0.5,4.150809786761316,878.1914789641216,7735.851351356737
True,,16.0,5.0,120959.45001061528,120.95945001061529,11691.882387902637,1209.5945001061527,100.0,1.4556040756914967,0.5,4.318907675661569,839.5459137484537,7665.805802015287
