 section index, x coordinate [mm], halpha [W/m^2/K], halpha_c [W/m^2/K], q_rad [W/m^2], q_total [W/m^2], T_wall_i [K], T_coolant [K], P_coolant [Pa], Re_coolant, v_coolant [m/s], T_hg (cinjarev) [K]
11,55.0,243.82670885750957,657.84903762719,479690.6120391785,782268.8302877877,1247.3270199568403,625.3757523524557,5999989.98851634,5104.012725691855,0.6047958405814389,2476.1352928628526
12,60.0,245.8138229144439,650.8127146736069,479690.6120391785,791699.1376547525,1219.1193654837884,590.435752424044,5999990.785617642,5417.937465543252,0.5674151770550884,2476.1352928628526
13,65.0,248.1171055792779,643.1487371172458,479690.6120391785,802496.3658628372,1187.5738256996663,553.9427120661824,5999991.523060498,5797.957280141389,0.5282864915113062,2476.1352928628526
14,70.0,248.1171055792779,643.1487371172458,479690.6120391785,802496.3658628372,1187.5738256996663,515.7431395180973,5999992.199020237,5797.957280141389,0.5282864915113062,2476.1352928628526
15,70.0,243.6074672497741,534.9660627722236,479690.6120391785,781225.6469853483,1251.3996753630763,515.7431395180973,5999992.199020237,1312.7459534462757,0.06626939940718778,2476.1352928628526
16,76.52630961100259,250.64449622562896,468.63418848266383,476093.4638980603,771297.734171837,1311.4897517951993,494.8921632873793,5999992.366152921,968.4657649964815,0.06046487871289241,2476.125887380678
17,82.94095225512605,286.32457077550805,432.52710984943644,464941.487741441,793262.543383363,1340.9490959614184,472.2499511574417,5999992.540061188,756.4670769892773,0.06004180905472525,2476.089477377271
18,89.1341716182545,369.37223757629613,420.3031946144332,444927.0065449177,861029.3637322375,1358.7632931236412,448.7830160748182,5999992.74714227,600.7589975759935,0.06405890788299211,2475.984039372088
19,95.0,564.5788606448858,440.18468998836937,412592.4825813497,1031791.3363829455,1385.417066143559,424.1293268668511,5999993.033606757,504.7759691930587,0.0750736158645531,2475.595331075686
20,100.0,977.4286722008057,487.3606196531713,369078.1291641378,1372860.3860504196,1449.3923432637193,401.16439755847483,5999993.45776415,438.38571151117117,0.0936774306613772,2473.9420271820545
21,104.1198914858916,1837.4677404273311,611.4122157153843,295819.03150513506,2024640.2314860001,1524.3217795297169,380.1775450192756,5999994.132662601,472.0476082289383,0.12257453064602358,2463.6770133684004
22,104.75181091258892,2017.7550186143112,619.8444060350703,273019.0332387139,2114549.963670123,1547.8642340977513,376.49717775780107,5999994.325748932,456.76089920304827,0.12689157673469836,2458.019168994596
23,105.42529877522387,2144.3117281304226,619.5649008083288,247717.26799012016,2170856.029115878,1556.4112281108323,372.8540491196797,5999994.541567493,438.47803566943526,0.12945196891181107,2450.4232159501994
24,106.1198914858916,2190.818933922547,615.64075443267,220581.58274810965,2172534.446393794,1553.113744295456,369.1324082054035,5999994.774552495,426.5947400241234,0.1301721094944993,2440.744210177945
25,106.53571486752712,2160.4693161020527,603.5442883445735,197007.15320426307,2124770.2186531597,1532.0735232232757,366.90063987719725,5999994.918558273,412.73394685272734,0.12897760488870935,2421.678500690912
26,106.93336477204319,2041.5742538257443,493.0599145043262,173955.29198023377,1890528.7339025282,1569.0909120532588,364.713089494202,5999995.061663071,272.9536122593638,0.12233138141195007,2408.5104004538675
27,111.90173349208763,1152.8840731711202,325.3163092976648,80785.8690739185,1122422.822056232,1427.9306341112047,337.27579410903184,5999997.061935318,159.4485934618829,0.09299922249608898,2329.1339733296277
28,117.85699565442131,744.4491728691586,224.22436940732646,52093.535388603,739498.1976325037,1367.785678961307,311.6199314383914,5999998.6076235585,92.1494954767815,0.07450907549920315,2287.2717945072804
29,124.79915125904425,529.5110446135616,193.61374433682812,37506.63685473743,555091.677897991,1284.410582625275,288.0,6000000.0,84.42252755815234,0.06322016502334547,2257.9179613316983
